99ed48b26a5de3f03cb72ed9b0c3c5447f044ae2
77	99ed48b26a5de3f03cb70ce583a740f81721c622	185.145.128.217	6881	30.113935
135	99ed487986f1d23112b7121c40d377f2a1e92648	89.128.52.226	6882	100.069046
136	99ed49c638ae43f754d8b28461b7b175815574be	77.37.140.115	41014	86.353064
137	99ed4b1487b3ff97f2819879df2be271501cd518	91.246.114.53	53909	78.696012
142	99ed13544f6f8c41643b13f515156ec3a034dfab	24.205.83.116	12067	181.841135
146	99e9f199713c1452f5e9a2283524438c6f814e3e	83.248.44.109	59401	66.457987
153	9b55846761b7650766803d26e161031525581071	176.10.200.191	6889	68.576097
154	9c5f642c1ec4958f563c6c360468a3554a1f585c	93.190.139.75	7764	34.288883
155	95ad22fbc7285c2c77a2e3c2ee494f02550febba	51.255.85.36	12189	66.025019
156	89bcb7b48caacb9b5fcaad47ffdda9b0385e4698	144.76.169.149	51413	52.935839
156	8cb4a207aabb6c218ae5015fa3df6b9c2f403133	83.252.172.52	6881	81.995964
156	8c99ee57d3e48d9398b2de0b9febe08073a1cb32	78.131.2.210	51413	107.719898
156	8c99c63a7b682380774bbe96650d22a1b0c486f3	188.76.173.179	6886	62.684059
156	8c990c8738895acc34734264c10ee74eaf7e2ffe	78.70.64.178	33516	64.294100
156	8c992eefe53231302d793da92f6fa5d0d5664590	88.198.19.190	27604	43.411016
156	8c990ec503a2eff2c23531b6a9c02a9e0ca8cce6	62.182.0.178	8999	93.314171
156	8c9908ed81cc826f8f200ce583a740f81721c622	185.145.128.217	6881	29.854059
157	b8cb98752d3b9b8b075fb5a0cd414ab442f0eb64	158.37.211.53	8621	63.290834
158	c81eaa8fb94ec53c36346000e0b51a77bdd920dc	83.248.144.115	8621	59.937954
158	c44dfc7921128150909717c7a3a0e3c030f5adc9	1.34.110.83	6889	305.167913
158	cd209d399811c0bafa9c68ae7ecec0fca535ff2b	109.246.233.187	8621	36.696911
158	c636ea77e81bbd95a0c8df01a5381cafcff5026f	93.190.139.75	7773	29.436111
159	76350ad800cd8a18584ca6df0939995876a21670	5.178.64.14	55555	30.771971
159	7737f3e9972d2b145e9b5422cb552c463ee5f862	80.98.151.180	64810	56.281805
159	77353e7e7c74018f8a4565f7a583073a30529f4d	188.221.233.76	51413	42.255878
159	77340fc13ae3147b3bbb3611fbb1f7a218a71bcf	195.154.181.225	45485	32.957077
159	6c2abe983b4b7a61ce052b2bf3dffbf7e2bf1ed0	86.168.216.89	8621	34.394979
